publication,year,endorsed,source,source2,notes
Chattanooga Times Free Press,2004,Kerry/Bush,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,,"Chattanooga Times editorial board endorsed Kerry, Chattanooga Free Press editorial board endorsed Bush"
Chattanooga Times Free Press,2008,Obama/McCain,https://www2.gwu.edu/~action/2008/media08/endorsements/endorse08newspgen.html,,"Chattanooga Times editorial board endorsed Obama, Chattanooga Free Press editorial board endorsed McCain"
Chattanooga Times Free Press,2012,Obama/Johnson,http://www.timesfreepress.com/news/opinion/freepress/story/2012/oct/24/1024b-fp1-gary-johnson-for-president/91028/,http://www.dailykos.com/story/2012/10/31/1153065/-Here-is-the-latest-update-on-newspaper-endorsements-for-president,"Chattanooga Times editorial board endorsed Obama, Chattanooga Free Press editorial board endorsed Johnson"
Chattanooga Times Free Press,2016,Unknown/None,http://www.timesfreepress.com/news/opinion/freepress/story/2016/oct/16/cooper-shocking-disappointment/392143/,,Chattanooga Free Press editorial board made no endorsement
Chattanooga Times Free Press,2020,Biden/Trump,https://www.timesfreepress.com/news/opinion/times/story/2020/oct/22/sohn-joe-biden-president/534651/,https://www.timesfreepress.com/news/opinion/freepress/story/2020/oct/17/cooper-keeping-republicans-charge/534157/,
Chicago Sun-Times,1980,Carter,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1984,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1988,Bush,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1992,Clinton,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Sun-Times,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Chicago Sun-Times,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Chicago Sun-Times,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Chicago Sun-Times,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Chicago Sun-Times,2012,None,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Chicago Sun-Times,2016,Clinton,http://chicago.suntimes.com/opinion/editorial-vote-for-clinton-and-avert-a-train-wreck/,,
Chicago Sun-Times,2020,Biden,https://chicago.suntimes.com/2020/8/21/21376335/joe-biden-endorsement-president-kamala-harris-donald-trump-2020-campaign,,
Chicago Tribune,1980,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1984,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1988,Bush,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1992,Bush,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Chicago Tribune,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Chicago Tribune,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Chicago Tribune,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Chicago Tribune,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Chicago Tribune,2012,Obama,http://articles.chicagotribune.com/2012-10-26/news/chi-obama-endorsement-chicago-tribune-20121026_1_president-obama-barack-obama-tax-cuts,,
Chicago Tribune,2016,Johnson,http://www.chicagotribune.com/news/opinion/editorials/ct-gary-johnson-president-endorsement-edit-1002-20160930-story.html,,
Chicago Tribune,2020,Biden,https://www.chicagotribune.com/opinion/editorials/ct-edit-chicago-tribune-biden-endorsement-20200925-lnyxsb5qvrftnjjmj3rnzj33jy-story.html,,
Cincinnati Enquirer,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Cincinnati Enquirer,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Cincinnati Enquirer,1988,Bush,http://www.upi.com/Archives/1988/10/16/Two-big-Ohio-papers-endorse-Bush/5565592977600/,,
Cincinnati Enquirer,1992,Bush,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Cincinnati Enquirer,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Cincinnati Enquirer,2000,Bush,http://enquirer.com/editions/2000/10/29/loc_enquirer_endorses.html,,
Cincinnati Enquirer,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Cincinnati Enquirer,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Cincinnati Enquirer,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Cincinnati Enquirer,2016,Clinton,http://www.cincinnati.com/story/opinion/editorials/2016/09/23/enquirer-endorses-hillary-clinton-donald-trump/90728344/,,
Cincinnati Enquirer,2020,None,https://www.cincinnati.com/story/opinion/2020/10/30/how-cincinnati-enquirer-cover-2020-presidential-election-editor-beryl-love/6071754002/,,
Cleveland Plain Dealer,1980,Reagan,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1984,Reagan,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1988,Bush,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1992,Clinton,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,1996,Clinton,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2000,Bush,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2004,None,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2008,Obama,http://www.cleveland.com/opinion/index.ssf/2012/10/plain_dealer_presidential_endo.html,,
Cleveland Plain Dealer,2012,Obama,http://www.cleveland.com/opinion/index.ssf/2012/10/on_the_basis_of_sound_leadersh.html,,
Cleveland Plain Dealer,2016,Clinton,http://www.cleveland.com/opinion/index.ssf/2016/10/in_the_matter_of_our_endorseme.html,,"Under Northeast Ohio Media Group, which also includes other weekly papers in the Cleveland area (cleveland.com is a shared digital arm)"
Cleveland Plain Dealer,2020,Biden,https://www.cleveland.com/opinion/2020/10/joe-biden-for-president.html,,
Columbus Dispatch,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Columbus Dispatch,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Columbus Dispatch,1988,Bush,http://www.upi.com/Archives/1988/10/16/Two-big-Ohio-papers-endorse-Bush/5565592977600/,,
Columbus Dispatch,1992,Bush,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Columbus Dispatch,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Columbus Dispatch,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Columbus Dispatch,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Columbus Dispatch,2008,McCain,http://www.dispatch.com/content/stories/editorials/2008/10/19/bikepath2.ART_ART_10-19-08_G4_GUBKEGH.html,,
Columbus Dispatch,2012,Romney,http://www.dispatch.com/content/stories/editorials/2012/10/21/for-president.html,,
Columbus Dispatch,2016,Clinton,http://www.dispatch.com/content/stories/editorials/2016/10/09/1-editorial-for-president-trump-unfit-clinton-is-qualified.html,,
Columbus Dispatch,2020,Biden,https://www.dispatch.com/story/opinion/editorials/2020/10/14/editorial-biden-can-reunite-restart-america/5977082002/,,
East Bay Times,1980,Unknown,,,
East Bay Times,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
East Bay Times,1988,Unknown,,,
East Bay Times,1992,Clinton,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
East Bay Times,1996,Clinton,"Email from Veronica Martinez, Bay Area News Group",,
East Bay Times,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
East Bay Times,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
East Bay Times,2008,Obama,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
East Bay Times,2012,Obama,http://www.eastbaytimes.com/2012/10/26/contra-costa-times-editorial-obama-is-the-best-choice-for-a-difficult-job/,,
East Bay Times,2016,Clinton,https://www.eastbaytimes.com/2016/09/27/east-bay-times-endorsements/,,
East Bay Times,2020,Biden,https://www.eastbaytimes.com/2020/09/05/editorial-joe-biden-will-heal-and-unite-our-country/,,
Daily Herald (Illinois),1980,Carter,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Daily Herald (Illinois),1984,Reagan,"Confirmed via phone by Jim Slusher, Daily Herald Assistant Managing Editor",,
Daily Herald (Illinois),1988,Bush,http://articles.chicagotribune.com/1992-10-29/news/9204070989_1_endorsement-bill-clinton-president-bush,,
Daily Herald (Illinois),1992,None,http://articles.chicagotribune.com/1992-10-29/news/9204070989_1_endorsement-bill-clinton-president-bush,,
Daily Herald (Illinois),1996,Dole,"""The Daily Herald's recommendations."" Daily Herald. Nov 3 1996. p. 16.",,
Daily Herald (Illinois),2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Daily Herald (Illinois),2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Daily Herald (Illinois),2008,Obama,http://prev.dailyherald.com/story/?id=243692,,
Daily Herald (Illinois),2012,Romney,http://www.dailyherald.com/article/20121028/discuss/710289939/,,
Daily Herald (Illinois),2016,Clinton,http://www.dailyherald.com/article/20161022/discuss/161029666/,,
Daily Herald (Illinois),2020,Biden,https://www.dailyherald.com/discuss/20201009/endorsement-biden-for-president-the-only-hope-to-ease-our-divisions,,
Dallas Morning News,1980,Reagan,http://www.cnn.com/2016/09/06/politics/dallas-morning-news-donald-trump-endorsement/,,
Dallas Morning News,1984,Reagan,http://www.cnn.com/2016/09/06/politics/dallas-morning-news-donald-trump-endorsement/,,
Dallas Morning News,1988,Bush,http://www.cnn.com/2016/09/06/politics/dallas-morning-news-donald-trump-endorsement/,,
Dallas Morning News,1992,Bush,http://www.nytimes.com/1992/10/12/us/the-1992-campaign-rivals-each-win-endorsements.html,,
Dallas Morning News,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Dallas Morning News,2000,Bush,http://www.nber.org/papers/w14445.pdf,,
Dallas Morning News,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Dallas Morning News,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Dallas Morning News,2012,Romney,http://www.dallasnews.com/opinion/editorials/2012/09/28/we-recommend-mitt-romney-for-president,,
Dallas Morning News,2016,Clinton,http://www.dallasnews.com/opinion/editorials/2016/09/07/recommend-hillary-clinton-us-president,,
Dallas Morning News,2020,None,https://www.dallasnews.com/opinion/we-recommend/2020/02/16/we-wont-recommend-a-candidate-for-president-in-2020-and-heres-why/,,
Dayton Daily News,1980,Carter,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,
Dayton Daily News,1984,Mondale,"Associated Press. Nov 4, 1984.",,
Dayton Daily News,1988,Dukakis,"Associated Press. ""Dukakis blasts 'fear and smear'; Bush repudiates Illinois brochures."" Louisville Courier-Journal. Oct 23, 1988. p. A11.",,
Dayton Daily News,1992,Clinton,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Dayton Daily News,1996,Clinton,"https://news.google.com/newspapers?nid=1310&dat=19961028&id=P0xWAAAAIBAJ&sjid=HOsDAAAAIBAJ&pg=6754,7621074",,
Dayton Daily News,2000,Gore,https://www2.gwu.edu/~action/natendorse5.html,,
Dayton Daily News,2004,Kerry,https://www2.gwu.edu/~action/2004/cands/natendorse5.html,,
Dayton Daily News,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Dayton Daily News,2012,None,http://www.daytondailynews.com/news/news/local-govt-politics/why-were-not-endorsing/nSspX/,,
Dayton Daily News,2016,None,,,
Dayton Daily News,2020,None,,,
Daytona Beach News-Journal,1980,Carter,http://www.upi.com/Archives/1980/10/29/The-Daytona-Beach-Fla-Journal-endorsed-President-Carter-but/3242341643600/,"Email from Mark Lane, Daytona Beach News-Journal Columnist","Before merging in 1986, the Daytona Morning Journal and Daytona Evening News were published separately but with a shared editorial board, endorsements were generally published in the joint Sunday News-Journal"
Daytona Beach News-Journal,1984,Mondale,"Associated Press. Nov 5, 1984.","Email from Mark Lane, Daytona Beach News-Journal Columnist","Before merging in 1986, the Daytona Morning Journal and Daytona Evening News were published separately but with a shared editorial board, endorsements were generally published in the joint Sunday News-Journal"
Daytona Beach News-Journal,1988,Bush,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Daytona Beach News-Journal,1992,Clinton,"Email from Scott Kent, Daytona Beach News-Journal Opinion Editor",,
Daytona Beach News-Journal,1996,Clinton,https://news.google.com/newspapers?id=dnpIAAAAIBAJ&sjid=Bg8EAAAAIBAJ&pg=5010%2C6116161,,
Daytona Beach News-Journal,2000,Gore,https://www.gwu.edu/~action/natendorse5.html,,
Daytona Beach News-Journal,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Daytona Beach News-Journal,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Daytona Beach News-Journal,2012,None,https://www.news-journalonline.com/story/opinion/editorials/2020/10/17/why-news-journal-doesnt-endorse-candidates-office/3680298001/,,
Daytona Beach News-Journal,2016,None,https://www.news-journalonline.com/story/opinion/editorials/2020/10/17/why-news-journal-doesnt-endorse-candidates-office/3680298001/,,
Daytona Beach News-Journal,2020,None,https://www.news-journalonline.com/story/opinion/editorials/2020/10/17/why-news-journal-doesnt-endorse-candidates-office/3680298001/,,
Denver Post,1980,None,"https://news.google.com/newspapers?nid=1346&dat=19801102&id=dkdNAAAAIBAJ&sjid=IPsDAAAAIBAJ&pg=4999,449161&hl=en",,
Denver Post,1984,Reagan,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,,
Denver Post,1988,Bush,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Denver Post,1992,Clinton,http://www.nytimes.com/1992/10/25/us/the-1992-campaign-in-editorials-5-major-papers-back-clinton.html,,
Denver Post,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Denver Post,2000,Gore,http://www.nber.org/papers/w14445.pdf,,
Denver Post,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Denver Post,2008,Obama,http://www.denverpost.com/2008/10/17/post-editorial-board-endorses-obama/,,
Denver Post,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Denver Post,2016,Clinton,https://www.denverpost.com/2016/10/07/denver-post-endorses-hillary-clinton-for-president/,,
Denver Post,2020,None,https://www.denverpost.com/2020/09/03/denver-post-endorsements-2020-election-colorado/,,
Des Moines Register,1972,Nixon,"""Mondale for President."" Des Moines Register. Nov 4, 1984. p. C1.",,1984 endorsement references previous endorsements
Des Moines Register,1976,Carter,"""Mondale for President."" Des Moines Register. Nov 4, 1984. p. C1.",,1984 endorsement references previous endorsements
Des Moines Register,1980,Carter,http://www.upi.com/Archives/1980/11/03/Ronald-Reagan-got-most-of-the-new-newspaper-endorsements/6748342075600/,,
Des Moines Register,1984,Mondale,"""Mondale for President."" Des Moines Register. Nov 4, 1984. p. C1.",,
Des Moines Register,1988,Dukakis,http://articles.philly.com/1988-10-31/news/26269586_1_dukakis-backers-candidate-bush-democrat-michael-s-dukakis,,
Des Moines Register,1992,Clinton,http://www.nytimes.com/1992/10/26/us/the-1992-campaign-more-newspapers-endorse.html,,
Des Moines Register,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Des Moines Register,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Des Moines Register,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Des Moines Register,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Des Moines Register,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Des Moines Register,2016,Clinton,http://www.desmoinesregister.com/story/opinion/editorials/endorsement/2016/10/15/registers-endorsement-clinton-vote-american-values/92009448/,,
Des Moines Register,2020,Biden,https://www.desmoinesregister.com/story/opinion/2020/10/03/des-moines-register-endorses-experienced-respectful-leader-joe-biden/3581278001/,,
Detroit Free Press,1980,Carter,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Detroit Free Press,1984,Mondale,http://www.upi.com/Archives/1984/10/29/Reagan-Mondale-endorsed-by-newspapers-a-cross-country/1780467874000/,,
Detroit Free Press,1988,Dukakis,http://www.nytimes.com/1988/10/24/us/politics-dukakis-wins-endorsement-of-newspapers-in-four-cities.html,,
Detroit Free Press,1992,Clinton,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Detroit Free Press,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Detroit Free Press,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Detroit Free Press,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Detroit Free Press,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit Free Press,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit Free Press,2016,Clinton,http://www.freep.com/story/opinion/editorials/2016/10/30/free-press-endorsement-hillary-clinton-accomplished-mature-choice/92890252/,,
Detroit Free Press,2020,Biden,https://www.freep.com/story/opinion/editorials/2020/09/20/detroit-free-press-presidential-endorsement-joe-biden-trump/5796299002/,,
Detroit News,1980,Reagan,http://www.upi.com/Archives/1980/10/26/The-New-York-Times-Sunday-endorsed-President-Carter-for/4516341380800/,,
Detroit News,1984,Reagan,http://www.thefreelibrary.com/Short+odds%3A+newspapers+bet+on+political+winners+rather+than+ideology.-a0111574566,,
Detroit News,1988,Bush,http://www.upi.com/Archives/1988/10/31/Endorsements-show-distaste-for-88-campaign/8214594277200/,,
Detroit News,1992,Bush,http://www.nytimes.com/1992/10/12/us/the-1992-campaign-rivals-each-win-endorsements.html,,
Detroit News,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Detroit News,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Detroit News,2004,None,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Detroit News,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit News,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Detroit News,2016,Johnson,http://www.detroitnews.com/story/opinion/editorials/2016/09/28/endorse-johnson-president/91254412/,,
Detroit News,2020,None,https://www.detroitnews.com/story/opinion/editorials/2020/10/29/presidential-endorsement-withheld-detroit-news-fourth-time/3745346001/,,
Florida Times-Union,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,"Listed as ""Jacksonville Times Union"""
Florida Times-Union,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Florida Times-Union,1988,Bush,"Email from Carol Boone, Times-Union Editorial Page staff",,
Florida Times-Union,1992,Bush,http://articles.latimes.com/1992-10-19/news/mn-442_1_texas-newspapers,,
Florida Times-Union,1996,Dole,"Email from Carol Boone, Times-Union Editorial Page staff",,
Florida Times-Union,2000,Bush,https://www.gwu.edu/~action/natendorse5.html,,
Florida Times-Union,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Florida Times-Union,2008,None,http://jacksonville.com/tu-online/stories/101908/opi_345671362.shtml#.V_EtbZMrIcg,,Editorial board split
Florida Times-Union,2012,Romney,http://jacksonville.com/opinion/editorials/2012-10-26/story/times-union-endorsement-romneys-turnaround-skills-are-right,,
Florida Times-Union,2016,Trump,http://jacksonville.com/opinion/2016-11-04/editorial-trump-change-agent-america-needs,,
Florida Times-Union,2020,None,https://www.jacksonville.com/story/opinion/columns/2020/10/18/mike-clark-here-why-were-endorsing-constitutional-amendments-and-little-else/5976506002/,,
Fort Worth Star-Telegram,1980,Reagan,"Editor & Publisher. Volume 113, Issue 44. Nov 1, 1980. pp. 9, 11, 13.",,"Listed as ""Fort Worth Telegram"""
Fort Worth Star-Telegram,1984,Reagan,"Editor & Publisher. Volume 117, Issue 44. Nov 3, 1984. pp. 11-12.",,
Fort Worth Star-Telegram,1988,Bush,"""Bush for president."" Fort Worth Star-Telegram. Oct 23, 1988. p. 3-2.",,Provided by the Fort Worth Library
Fort Worth Star-Telegram,1992,Clinton,http://articles.latimes.com/1992-10-19/news/mn-442_1_texas-newspapers,,
Fort Worth Star-Telegram,1996,Dole,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Fort Worth Star-Telegram,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Fort Worth Star-Telegram,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Fort Worth Star-Telegram,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fort Worth Star-Telegram,2012,Romney,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fort Worth Star-Telegram,2016,Not Trump,http://www.star-telegram.com/opinion/editorials/article109599257.html,,
Fort Worth Star-Telegram,2020,None,https://www.nytimes.com/2020/09/17/us/elections/mcclatchys-30-newspapers-probably-wont-be-endorsing-this-year.html,,
Fresno Bee,1980,Carter,"https://news.google.com/newspapers?nid=1955&dat=19801102&id=W_chAAAAIBAJ&sjid=FKEFAAAAIBAJ&pg=4337,407405&hl=en",,
Fresno Bee,1984,Mondale,"Email from Bill McEwen, Fresno Bee Editorial Page Editor",,
Fresno Bee,1988,Dukakis,"Editor & Publisher. Volume 121, Issue 44. Oct 29, 1988. pp. 10-11.",,
Fresno Bee,1992,Clinton,"Editor & Publisher. Volume 125, Issue 43. Oct 24, 1992. pp. 11, 44.",,
Fresno Bee,1996,Clinton,"""The Bee recommends."" Fresno Bee. Nov 5, 1996. p. B4.",,
Fresno Bee,2000,Gore,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Fresno Bee,2004,Kerry,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Fresno Bee,2008,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fresno Bee,2012,Obama,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Fresno Bee,2016,Clinton,http://www.fresnobee.com/opinion/editorials/article106756647.html,,
Fresno Bee,2020,None,https://www.nytimes.com/2020/09/17/us/elections/mcclatchys-30-newspapers-probably-wont-be-endorsing-this-year.html,,
Grand Rapids Press,1980,Carter,"https://news.google.com/newspapers?nid=1988&dat=19801103&id=_FAiAAAAIBAJ&sjid=3awFAAAAIBAJ&pg=3310,93969",,
Grand Rapids Press,1984,Reagan,http://www.nytimes.com/1992/10/29/us/the-1992-campaign-the-voters-michigan-thinks-rethinks-and-thinks-again.html,"Associated Press. Nov 5, 1984.",
Grand Rapids Press,1988,Bush,Confirmed by Grand Rapids Public Library via phone,,
Grand Rapids Press,1992,Clinton,http://www.nytimes.com/1992/10/29/us/the-1992-campaign-the-voters-michigan-thinks-rethinks-and-thinks-again.html,,
Grand Rapids Press,1996,Dole,Confirmed by Grand Rapids Public Library via phone,,
Grand Rapids Press,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Grand Rapids Press,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
Grand Rapids Press,2008,McCain,http://www.presidency.ucsb.edu/data/2012_newspaper_endorsements.php,,
Grand Rapids Press,2012,Romney,http://www.mlive.com/opinion/grand-rapids/index.ssf/2012/10/grand_rapids_press_endorsement.html,,
Grand Rapids Press,2016,Clinton,http://www.mlive.com/opinion/index.ssf/2016/10/hillary_clinton_is_best_for_mi.html,,"As MLive editorial board, which covers several other Michigan newspapers too"
Grand Rapids Press,2020,None,https://www.mlive.com/news/2020/10/letter-from-the-editor-mlive-is-not-endorsing-a-candidate-in-the-presidential-race-and-heres-why.html,,
Greensboro News & Record,1980,Unknown/Reagan,"""For President."" Greensboro Record. Oct 30, 1980. p. A6.",,Greensboro Record endorsed Reagan
Greensboro News & Record,1984,Mondale,http://www.upi.com/Archives/1984/11/04/Several-US-newspapers-waited-until-the-Sunday-before-Election/7137468392400/,"""Mondale for president."" Greensboro News & Record. Nov 4, 1984. p. E2.",
Greensboro News & Record,1988,Dukakis,"https://news.google.com/newspapers?nid=1988&dat=19881031&id=1GciAAAAIBAJ&sjid=9KwFAAAAIBAJ&pg=2442,5574346",,
Greensboro News & Record,1992,Clinton,"""Endorsement addendum."" Editor & Publisher. Volume 117, Issue 45. Nov 7, 1992, p. 15.",,
Greensboro News & Record,1996,Clinton,"""More papers make endorsements in presidential race."" Editor & Publisher. Volume 129, Issue 45. Nov 9, 1996. p. 3.",,
Greensboro News & Record,2000,Gore,,,
Greensboro News & Record,2004,Kerry,,,
Greensboro News & Record,2008,None,,,
Greensboro News & Record,2012,None,,,
Greensboro News & Record,2016,Clinton,http://www.greensboro.com/opinion/n_and_r_editorials/our-opinion-clinton-for-president/article_21eb0ff6-9337-5b5f-8c6c-6d90c5009505.html,,
Greensboro News & Record,2020,None,https://greensboro.com/opinion/editorials/our-opinion-when-you-vote/article_3aacd010-1a36-11eb-ba19-1782116786b5.html,,
Hartford Courant,1980,Anderson,https://books.google.com/books?id=kXKFfYMjiloC&lpg=PA403&pg=PA403#v=onepage&q&f=false,,
Hartford Courant,1984,Reagan,https://www.washingtonpost.com/archive/politics/1984/10/29/dailies-make-endorsements/e4bcf55f-c765-4606-b65c-f928925d6eb7/,,
Hartford Courant,1988,Bush,http://www.upi.com/Archives/1988/11/01/Lamenting-a-presidential-campaign-lacking-in-issues-and-calling/7002594363600/,,
Hartford Courant,1992,Clinton,http://www.courant.com/opinion/editorials/hc-clintonendorse1996-story.html,,
Hartford Courant,1996,Clinton,http://www.nytimes.com/1996/10/28/us/endorsements-for-president.html,,
Hartford Courant,2000,Bush,http://www.washingtonpost.com/wp-srv/politics/early/archive/early110200.htm,,
Hartford Courant,2004,Bush,http://www.presidency.ucsb.edu/data/2008_newspaper_endorsements.php,,
